,Ġsleep,.,way,ency,Ġduring,Ġthe,Ġcontributes,al,Ġpat,Ġo,Ġupper,Ġmaintenance,Ġloud,Ġair,Ġof,Ġsleep,aryn,Ġstudies,Ġto,orers,Ġpresence,ge,Ġthe,way,Ġair,Ġan,Ġthat,ĠPrevious,Ġupper,Ġsupport,Ġmechanism,Ġanesthesia,Ġreflex,Ġin,Ġap,ive,Ġtopical,Ġof,roph,nea,.,Ġsn,Ġfollowing,struct,Ob
Ġsleep,0.020858798,0.0,0.0012868767,0.007668258,0.015620665,0.0059342273,0.0017211792,0.019883106,0.06606274,0.0023330967,0.007501373,0.010168491,0.0007384898,0.0019652068,0.012160227,0.008915775,0.012606691,0.007898248,0.0072142836,0.0035975645,0.0046999217,0.010924183,0.007136937,0.003004303,0.00077254843,0.004555635,0.008290892,0.021699516,0.004321574,0.011845886,0.008925189,0.0033927264,0.0062272395,0.0037000882,0.028804295,0.014700892,0.0045478432,0.0077538914,0.16838168,0.0054472485,0.020475378,0.06524319,0.018093005,0.006172106,0.3467485
.,0.0058221426,0.039308712,0.001448411,0.015972039,0.014166145,0.0027731443,0.0068492647,0.0020553567,0.008276098,0.002145168,0.014285693,0.0050120656,0.0017300915,0.0015811406,0.007957619,0.0028075157,0.014183482,0.007464074,0.012413733,0.008120686,0.01608982,0.020384941,0.012446272,0.03613367,0.0019295431,0.034654666,0.029184323,0.008689402,0.023501571,0.011429616,0.017039746,0.017902328,0.023037503,0.009468778,0.007964184,0.0061422605,0.007168746,0.04207624,0.037822958,0.011527409,0.07488096,0.10550446,0.014504683,0.03255894,0.22358441
way,0.0,0.0,0.04758609,0.0,0.0,0.0080346,0.03289899,0.0017313615,0.0,0.0012408181,0.018102838,0.022008372,0.0017679296,0.022093548,0.047364913,0.0011891559,0.0025885804,0.002708674,0.044187043,0.0035685652,0.0076992842,0.0016953705,0.00443268,0.055114027,0.019283231,0.015214217,0.074799865,0.0025753095,0.010242174,0.02808193,0.124002635,0.014073924,0.15540862,0.0017628057,0.0064782994,0.012696589,0.015861873,0.0670234,0.010891432,0.021154832,0.0046171704,0.0063838535,0.04591583,0.019020008,0.018499209
ency,0.0,0.0,0.0026327353,0.026835468,0.0,0.013953141,0.0066045024,0.0046019135,0.01110704,0.0021781903,0.006879061,0.010475275,0.0023639074,0.005105665,0.015906623,0.0024489223,0.006664147,0.025801599,0.009756123,0.011272018,0.004936751,0.0022747538,0.027341714,0.0064226473,0.0026597306,0.0050748996,0.033389032,0.016992886,0.0027324965,0.013871153,0.016646305,0.012074233,0.0062824404,0.04345783,0.014228097,0.0036290416,0.010676484,0.013681259,0.036550168,0.0052147005,0.1139385,0.07178281,0.033089552,0.004959146,0.333507
Ġduring,0.0,0.0,0.0017158038,0.014850524,0.047158673,0.0049929465,0.002201453,0.010427739,0.05775577,0.0083745085,0.056194365,0.005012237,0.003211014,0.0040678983,0.01234931,0.0071430476,0.013377848,0.0093839085,0.017620007,0.008451093,0.004992151,0.016925182,0.0018093393,0.014522303,0.006895954,0.01658131,0.0065451167,0.0061507267,0.04031747,0.005753971,0.011539453,0.020288862,0.022920437,0.0037814719,0.091697834,0.0085404115,0.0119071435,0.026928408,0.12450887,0.020523619,0.013425194,0.12447975,0.01650887,0.042516127,0.05565178
Ġthe,0.0,0.0,0.0,0.0,0.0,0.016129944,0.004757638,0.0039115786,0.0,0.001476723,0.0,0.0,0.0030179666,0.0,0.0,0.002828969,0.005038397,0.010258019,0.04008021,0.02068099,0.022252917,0.0075868787,0.008726948,0.030357104,0.0039726635,0.053187232,0.016245333,0.010282271,0.03279024,0.023587627,0.023741398,0.023621112,0.045967855,0.0071230936,0.010109041,0.013558159,0.004572625,0.08233568,0.0151152415,0.037939824,0.038269233,0.13893351,0.024325388,0.04994008,0.16727817
Ġcontributes,0.0,0.0,0.0,0.0,0.0,0.0,0.049395572,0.0028594218,0.0,0.0074230675,0.0,0.0,0.0021372873,0.0,0.0,0.0015232291,0.0064331344,0.046419006,0.0,0.0331928,0.022908919,0.0032548166,0.036893245,0.00546124,0.0023548477,0.014359887,0.02510011,0.026783556,0.012258079,0.021099813,0.032584947,0.02344857,0.022062903,0.048030414,0.008767057,0.010633973,0.005739381,0.020129142,0.00585619,0.023937631,0.3462695,0.027539862,0.024240533,0.00793908,0.07296274
al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050647587,0.0,0.018475015,0.0,0.0,0.0,0.0,0.0,0.010627711,0.0041762264,0.0,0.0,0.0,0.0,0.022294724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531235,0.025061503,0.12907124,0.0,0.12424116,0.112755574,0.0,0.0,0.08282009,0.3369165,0.02978913
Ġpat,0.0,0.0,0.0031764943,0.0,0.0,0.015306329,0.043208346,0.00077127817,0.09221845,0.00053257385,0.02361576,0.071021535,0.0037776672,0.004637386,0.054065775,0.00012855935,0.00092618755,0.035137843,0.04903026,0.0044678594,0.060810152,0.0005476057,0.0077933017,0.001747872,0.0006009138,0.020944206,0.044627566,0.0019137055,0.010613652,0.069883935,0.13886668,0.011159115,0.03686675,0.007051423,0.006376268,0.014124088,0.021683134,0.06355161,0.0038465175,0.0016919989,0.005316566,0.003416998,0.056914784,0.005042221,0.002586689
Ġo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019155415,0.0,0.0,0.0,0.0,0.0,0.0030531387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037759256,0.007669572,0.21506108,0.0,0.0,0.104379274,0.0,0.0,0.568315,0.042335406,0.0022718003
Ġupper,0.0,0.0,0.0,0.0,0.0,0.009208866,0.009740231,0.0012563412,0.0,0.00059944513,0.122824356,0.027532177,0.0006763286,0.0,0.03759131,0.0006680005,0.0016343733,0.0017740388,0.03259169,0.009117848,0.008481462,0.011604414,0.0023563004,0.03659483,0.08156564,0.016406637,0.0349554,0.002737888,0.03479883,0.01111203,0.07672803,0.012143587,0.24603902,0.0021425742,0.018730965,0.0056174463,0.0004729705,0.030747479,0.0022915145,0.023166914,0.0054757213,0.04306427,0.008216472,0.02066087,0.0086737005
Ġmaintenance,0.0,0.0,0.0,0.0,0.0,0.032308962,0.019111209,0.0024511144,0.0,0.0026735708,0.0,0.020941537,0.0017189055,0.0,0.0,0.0012806071,0.003375492,0.019585859,0.04895811,0.008288506,0.011405503,0.004893734,0.03623518,0.022136686,0.024293145,0.036256544,0.058338247,0.021289926,0.0065926225,0.056946497,0.048968095,0.013795965,0.05594872,0.031124018,0.02323356,0.007066642,0.01113462,0.0640296,0.014734517,0.01897907,0.031238953,0.06191653,0.054451484,0.026381604,0.09791474
Ġloud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009697764,0.0,0.016015068,0.0,0.0,0.18151258,0.0,0.0,0.0017918671,0.006343978,0.0,0.0,0.0,0.0,0.016046355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12210489,0.0,0.091391675,0.07646152,0.00913471,0.021640928,0.0,0.13270108,0.10360026,0.0,0.0,0.10246639,0.09080736,0.018283555
Ġair,0.0,0.0,0.0,0.0,0.0,0.017846076,0.039850976,0.0003476343,0.0,0.0009652204,0.007508819,0.08535524,0.00064274896,0.23874997,0.038431183,0.00030860436,0.00032591494,0.0029539561,0.030774165,0.003282355,0.018566443,0.0004441301,0.0045749256,0.0132025955,0.025269978,0.007624521,0.10143969,0.0027442435,0.0027149003,0.010327553,0.13810153,0.004406764,0.14308281,0.0013613153,0.005021911,0.0011025291,0.0005080001,0.018582508,0.004813042,0.006045679,0.0056362054,0.0057320353,0.005112767,0.003676775,0.0025642614
Ġof,0.0,0.0,0.0,0.0,0.0,0.016966987,0.0054676845,0.0036280917,0.0,0.0029016365,0.0,0.014446722,0.004826742,0.0,0.08507926,0.003191669,0.00976473,0.006350537,0.08563174,0.01128773,0.0068041496,0.013974464,0.003687358,0.02324744,0.004491097,0.038544584,0.015576607,0.0056321905,0.03934122,0.020863088,0.017864235,0.010960505,0.037288062,0.009380427,0.026617132,0.013719367,0.010678329,0.09196329,0.023161234,0.02267908,0.01563187,0.15233213,0.05025555,0.034492526,0.061270613
Ġsleep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056540385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06149032,0.80722106
aryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051954836,0.0,0.0,0.0,0.0,0.0,0.0567366,0.017918224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017388262,0.0532912,0.024207221,0.0,0.02363058,0.3682434,0.0,0.0,0.19565207,0.23322378,0.0045132
Ġstudies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002878766,0.0,0.031093247,0.0,0.0,0.0029919706,0.0,0.0,0.002556719,0.0050652446,0.036984656,0.0,0.0055836393,0.0,0.007444078,0.0,0.0,0.0,0.0,0.0,0.119125016,0.0,0.0,0.0,0.010941503,0.0,0.08402971,0.006585293,0.010632016,0.013507712,0.0,0.056562822,0.008689039,0.14394845,0.16583231,0.034355413,0.007827463,0.24336487
Ġto,0.0,0.0,0.0,0.0,0.0,0.0,0.0039394544,0.0032277966,0.0,0.0013697088,0.0,0.0,0.0026742653,0.0,0.0,0.002501745,0.011452578,0.006788405,0.041287344,0.014752975,0.016891297,0.0117311245,0.0024473662,0.024487635,0.006660395,0.02397379,0.01158449,0.0030819636,0.02559616,0.00829762,0.022976823,0.02009338,0.050590836,0.0054984796,0.027330238,0.0068634255,0.0038926043,0.046022177,0.03622154,0.026918206,0.03278756,0.3213847,0.011697493,0.041872375,0.12310412
orers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011789491,0.0,0.0003580361,0.0,0.0,0.0011662127,0.0,0.0,0.0010028533,0.0017136299,0.0,0.0,0.020560032,0.0,0.0021296137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007088183,0.0,0.0102194315,0.0045360452,0.0011839676,0.0010568888,0.0,0.022516998,0.0041394103,0.0,0.06812868,0.0029795314,0.0018743335,0.8481673
Ġpresence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053860466,0.0,0.0049073915,0.0,0.0,0.0030195247,0.0,0.0,0.004093139,0.0088232,0.041860133,0.0,0.033656333,0.025103824,0.012023601,0.052946128,0.0,0.0,0.0,0.0,0.047240384,0.0,0.060020518,0.0,0.032703012,0.0,0.053719237,0.017978597,0.0153554045,0.019356713,0.0,0.021070233,0.036432546,0.20063294,0.08496461,0.042737633,0.03514674,0.14082216
ge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019198509,0.0,0.0,0.0,0.0,0.0,0.029086202,0.018844483,0.0,0.0,0.0,0.0,0.080522195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627397,0.059178177,0.021260027,0.0,0.120100036,0.0752859,0.0,0.0,0.15589403,0.34816813,0.006188292
Ġthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013488493,0.0,0.010987868,0.0,0.0,0.004694742,0.0,0.0,0.0146048935,0.0061816834,0.014404453,0.0,0.01495739,0.0,0.0071332753,0.07677348,0.0,0.0,0.0,0.0,0.14832123,0.0,0.043114897,0.0,0.02431905,0.0,0.06431908,0.013258142,0.025897415,0.026402663,0.0,0.01577127,0.032784868,0.121958904,0.050613515,0.10979142,0.067467526,0.09275375
way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003666332,0.0,0.0008233995,0.0,0.0,0.0018082281,0.0,0.0,0.008938135,0.0034221376,0.0039768843,0.0,0.022868628,0.021852098,0.003186358,0.0123945335,0.1630482,0.052126452,0.048085105,0.0,0.011267536,0.028138032,0.022864113,0.0,0.04069139,0.0,0.00426042,0.005771072,0.021701086,0.012358404,0.12475138,0.032138545,0.08938094,0.05913124,0.01699086,0.03602101,0.064585194,0.08375223
Ġair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086767855,0.0,0.0011187646,0.0,0.0,0.001566819,0.0,0.0,0.0007444744,0.0002448971,0.0077257925,0.0,0.008944747,0.08507091,0.00034382066,0.0138946045,0.0,0.37949458,0.031905156,0.0,0.00945458,0.009872776,0.055494647,0.0,0.014695796,0.0,0.004478519,0.0034112246,0.005428199,0.004179374,0.19161391,0.0127914995,0.034725055,0.035921242,0.015647436,0.021078745,0.025140194,0.024144605
Ġan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005193118,0.0,0.001970756,0.0,0.0,0.002863662,0.0,0.0,0.0043512215,0.007624872,0.0043479674,0.0,0.02018958,0.01800102,0.021602077,0.016217435,0.0,0.0,0.11603254,0.0,0.022594297,0.0,0.059296675,0.0,0.012062084,0.0,0.011889942,0.0078895,0.024133967,0.008588594,0.18640336,0.023490125,0.04951549,0.10336255,0.09437849,0.0699261,0.021874994,0.08619963
Ġthat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046573873,0.0,0.0042966763,0.0,0.0,0.0016911273,0.0,0.0,0.0025902675,0.010695885,0.0052053514,0.0,0.006965305,0.018983867,0.013093004,0.060321618,0.017692443,0.0051353076,0.033823136,0.20284434,0.0068203225,0.018976726,0.06073505,0.038551826,0.025992712,0.030448066,0.028209811,0.005462011,0.02916399,0.017920243,0.07283724,0.02259555,0.014188961,0.023592988,0.10865003,0.06252596,0.021402314,0.023930546
ĠPrevious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012380906,0.0,0.025015717,0.0,0.0,0.0016473461,0.0,0.0,0.005959807,0.036941618,0.0,0.0,0.018704347,0.0,0.026538748,0.0,0.0,0.0,0.0,0.0,0.05375282,0.0,0.0,0.0,0.06498164,0.0,0.009234755,0.0796343,0.0039091664,0.008052957,0.0,0.101307355,0.040591132,0.067638405,0.23446892,0.015071964,0.04914664,0.14502145
Ġupper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010778137,0.0,0.00083731336,0.0,0.0,0.0012753595,0.0,0.0,0.0009859877,0.00080003554,0.0058998913,0.0,0.033826184,0.018130504,0.008405324,0.005331806,0.0,0.0,0.079153605,0.0,0.009760902,0.33695623,0.026917072,0.0,0.03510303,0.0,0.0061670886,0.019509014,0.008983078,0.0014592758,0.101554245,0.0020206117,0.056282274,0.028312309,0.06917533,0.012636019,0.041534692,0.087904945
Ġsupport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099559575,0.0,0.011324982,0.0,0.0,0.005164947,0.0,0.0,0.0065679937,0.008718575,0.02422308,0.0,0.017746288,0.0,0.0102370465,0.0,0.0,0.0,0.0,0.0,0.053329717,0.0,0.03476646,0.0,0.043333072,0.0,0.03231542,0.02417077,0.021065187,0.029432967,0.0,0.08022544,0.041279815,0.09580986,0.10767734,0.037193004,0.0985302,0.20693192
Ġmechanism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023502277,0.0,0.0021200941,0.0,0.0,0.0024605256,0.0,0.0,0.001812417,0.0028786,0.013379572,0.0,0.012763155,0.008425036,0.0023929288,0.046156168,0.012419024,0.0027507597,0.035441466,0.0,0.028873531,0.023806121,0.035092983,0.03422292,0.010561257,0.019927625,0.036185127,0.006669853,0.006070756,0.005091882,0.04036031,0.025074616,0.014097464,0.082775906,0.07236661,0.0423627,0.0040889652,0.3670213
Ġanesthesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004328131,0.0,0.0011940191,0.0,0.0,0.0,0.0,0.0,0.0016573371,0.0032404352,0.0,0.0,0.0,0.0,0.0047196844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021964882,0.0,0.0,0.008997038,0.004376138,0.0053823283,0.0,0.12268079,0.0059925593,0.0,0.0,0.00833673,0.011833779,0.79529613
Ġreflex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007203361,0.0,0.0039137187,0.0,0.0,0.004134458,0.0,0.0,0.003858052,0.013857128,0.01104775,0.0,0.013394264,0.0228859,0.0049412954,0.0332914,0.032044545,0.0060784966,0.020971004,0.0,0.019470686,0.015147639,0.038567904,0.0,0.016155172,0.074505515,0.023503337,0.01945731,0.0076285037,0.013227369,0.05030289,0.060604945,0.022062303,0.07428521,0.18111311,0.062022652,0.007826791,0.13649729
Ġin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021975398,0.0,0.00806399,0.0,0.0,0.0,0.0,0.0,0.012441121,0.025552921,0.0,0.0,0.0,0.0,0.030317618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111691,0.0,0.4069029,0.012165631,0.021239763,0.027119292,0.0,0.022558482,0.09383266,0.0,0.0,0.16489667,0.058636375,0.013180313
Ġap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004785512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14586976,0.032643933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77912426,0.03757659
ive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28998262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6200961,0.08992128
Ġtopical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004291388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024126954,0.05066773,0.37278256,0.0,0.0,0.07827724,0.0,0.0,0.15331928,0.29216942,0.024365455
Ġof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065113693,0.0,0.0039128815,0.0,0.0,0.0044020587,0.0,0.0,0.006076239,0.01212811,0.0043578204,0.0,0.024502097,0.016963517,0.027028948,0.0030100436,0.0,0.0,0.0,0.0,0.005672582,0.0,0.010754039,0.0,0.03302058,0.0,0.006536014,0.019971931,0.022560574,0.015732825,0.107242286,0.09431462,0.051165853,0.059653834,0.23289858,0.025036208,0.08071114,0.12583593
roph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016063021,0.0,0.0,0.0,0.0,0.0,0.0036105644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009313603,0.054986052,0.110164985,0.0,0.17993633,0.054557923,0.0,0.0,0.26177895,0.2978686,0.011719959
nea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104381675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07428516,0.058082554,0.0,0.0,0.0,0.10638062,0.0,0.0,0.0,0.06537688,0.68543667
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021814601,0.0,0.0015283243,0.0,0.0,0.0025021157,0.0,0.0,0.0039639166,0.013119492,0.0,0.0,0.029448366,0.0,0.024847593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033066146,0.0,0.012112759,0.012839073,0.005031319,0.002880456,0.0,0.04725668,0.02331952,0.36767817,0.2225495,0.009241215,0.049130555,0.13730337
Ġsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011660294,0.0,0.012847006,0.0,0.0,0.023534197,0.0,0.0,0.0039178617,0.03771564,0.0,0.0,0.0,0.0,0.017768264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10420735,0.0,0.030295163,0.08007504,0.033664245,0.028495044,0.0,0.028602002,0.04094025,0.0,0.1915223,0.25273877,0.059096124,0.042920515
Ġfollowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029709945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055152096,0.089568995,0.0,0.0,0.0,0.28164768,0.0,0.0,0.26948023,0.2051993,0.06924176
struct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096387,0.090361334
Ob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
